"Table: Divine Spell Scrolls"
"0-Level Divine Spells"
"32","heal mount","375 gp"
"33–34","helping hand","375 gp"
"35–36","inflict serious wounds","375 gp"
"37–38","invisibility purge","375 gp"
"39-40","locate object","375 gp"
"41–46","magic circle against chaos/evil/good/law","375 gp"
"47–48","magic fang, greater","375 gp"
"49–50","magic vestment","375 gp"
"51–52","meld into stone","375 gp"
"53–55","neutralize poison","375 gp"
"56–57","obscure object","375 gp"
"58–59","plant growth","375 gp"
"60–62","prayer","375 gp"
"63–64","protection from energy","375 gp"
"65–66","quench","375 gp"
"67–69","remove blindness/deafness","375 gp"
"70–71","remove curse","375 gp"
"72–73","remove disease","375 gp"
"74–76","searing light","375 gp"
"77–78","sleet storm","375 gp"
"79–80","snare","375 gp"
"81–83","speak with dead","375 gp"
"84–85","speak with plants","375 gp"
"86–87","spike growth","375 gp"
"88–89","stone shape","375 gp"
"90–91","summon monster III","375 gp"
"92–93","summon nature’s ally III","375 gp"
"94–96","water breathing","375 gp"
"97–98","water walk","375 gp"
"99–100","wind wall","375 gp"
"01–05","air walk","700 gp"
"06–07","antiplant shell","700 gp"
"08–09","blight","700 gp"
"10–11","break enchantment","700 gp"
"12–13","command plants","700 gp"
"14–15","control water","700 gp"
"16–21","cure critical wounds","700 gp"
"22–26","death ward","700 gp"
"27–31","dimensional anchor","700 gp"
"32–34","discern lies","700 gp"
"35–37","dismissal","700 gp"
"38–39","divination","725 gp"
"40–42","divine power","700 gp"
"43–47","freedom of movement","700 gp"
"48–49","giant vermin","700 gp"
"50–51","holy sword","700 gp"
"52–54","imbue with spell ability","700 gp"
"55–57","inflict critical wounds","700 gp"
"58–60","magic weapon, greater","700 gp"
"61–62","nondetection","750 gp"
"63–64","planar ally, lesser","1,200 gp"
"65–67","poison","700 gp"
"68–69","reincarnate","700 gp"
"70–71","repel vermin","700 gp"
"72–76","restoration","800 gp"
"77–78","rusting grasp","700 gp"
"79–81","sending","700 gp"
"82–85","spell immunity","700 gp"
"86–87","spike stones","700 gp"
"88–90","summon monster IV","700 gp"
"91–93","summon nature’s ally IV","700 gp"
"94–98","tongues","700 gp"
"99–100","tree stride","700 gp"
"01–03","animal growth","1,125 gp"
"04–05","atonement","3,625 gp"
"06","awaken","2,375 gp"
"07–09","baleful polymorph","1,125 gp"
"10–13","break enchantment","1,125 gp"
"14–16","call lightning storm","1,125 gp"
"17–20","command, greater","1,125 gp"
"21","commune","1,625 gp"
"22","commune with nature","1,125 gp"
"23–24","control winds","1,125 gp"
"25–30","cure light wounds, mass","1,125 gp"
"31–34","dispel chaos/evil/good/law","1,125 gp"
"35–38","disrupting weapon","1,125 gp"
"39–41","flame strike","1,125 gp"
"42–43","hallow"
"44–46","ice storm","1,125 gp"
"47–49","inflict light wounds, mass","1,125 gp"
"50–52","insect plague","1,125 gp"
"53","mark of justice","1,125 gp"
"54–56","plane shift","1,125 gp"
"57–58","raise dead","6,125 gp"
"59–61","righteous might","1,125 gp"
"62–63","scrying","1,125 gp"
"64–66","slay living","1,125 gp"
"67–69","spell resistance","1,125 gp"
"70–71","stoneskin","1,375 gp"
"72–74","summon monster V","1,125 gp"
"75–77","summon nature’s ally V","1,125 gp"
"78","symbol of pain","2,125 gp"
"79","symbol of sleep","2,125 gp"
"80–82","transmute mud to rock","1,125 gp"
"83–85","transmute rock to mud","1,125 gp"
"86–89","true seeing","1,375 gp"
"90–91","unhallow","6,125 gp 1"
"92–94","wall of fire","1,125 gp"
"95–97","wall of stone","1,125 gp"
"98–100","wall of thorns","1,125 gp"
"1 Allows for a spell of up to 4th level to be tied to the hallowed or unhallowed area."
"01–03","animate objects","1,650 gp"
"04–06","antilife shell","1,650 gp"
"07–09","banishment","1,650 gp"
"10–13","bear’s endurance, mass","1,650 gp"
"14–16","blade barrier","1,650 gp"
"17–20","bull’s strength, mass","1,650 gp"
"21–24","cat’s grace, mass","1,650 gp"
"25","create undead","1,650 gp"
"26–29","cure moderate wounds, mass","1,650 gp"
"30–33","dispel magic, greater","1,650 gp"
"34–37","eagle’s splendor, mass","1,650 gp"
"38–40","find the path","1,650 gp"
"41–43","fire seeds","1,650 gp"
"44","forbiddance","4,650 gp 1"
"45","geas/quest","1,650 gp"
"46","glyph of warding, greater","1,650 gp"
"47–49","harm","1,650 gp"
"50–52","heal","1,650 gp"
"53–55","heroes’ feast","1,650 gp"
"56–58","inflict moderate wounds, mass","1,650 gp"
"59–61","ironwood","1,650 gp"
"62","liveoak","1,650 gp"
"63–65","move earth","1,650 gp"
"66–69","owl’s wisdom, mass","1,650 gp"
"70–71","planar ally","2,400 gp"
"72–74","repel wood","1,650 gp"
"75–77","spellstaff","1,650 gp"
"78–80","stone tell","1,650 gp"
"81–83","summon monster VI","1,650 gp"
"84–86","summon nature’s ally VI","1,650 gp"
"87","symbol of fear","2,650 gp"
"88","symbol of persuasion","6,650 gp"
"89–91","transport via plants","1,650 gp"
"92–94","undeath to death","2,150 gp"
"95–97","wind walk","1,650 gp"
"98–100","word of recall","1,650 gp"
"1 Assumes an area equivalent to one 60-foot cube."
"01–05","animate plants","2,275 gp"
"06–09","blasphemy","2,275 gp"
"10–14","changestaff","2,275 gp"
"15–16","control weather","2,275 gp"
"17–21","creeping doom","2,275 gp"
"22–27","cure serious wounds, mass","2,275 gp"
"28–32","destruction","2,275 gp"
"33–36","dictum","2,275 gp"
"37–41","ethereal jaunt","2,275 gp"
"42–45","holy word","2,275 gp"
"46–50","inflict serious wounds, mass","2,275 gp"
"51–55","refuge","3,775 gp"
"56–60","regenerate","2,275 gp"
"61–65","repulsion","2,275 gp"
"66–69","restoration, greater","4,775 gp"
"70–71","resurrection","12,275 gp"
"72–76","scrying, greater","2,275 gp"
"77–81","summon monster VII","2,275 gp"
"82–85","summon nature’s ally VII","2,275 gp"
"86–90","sunbeam","2,275 gp"
"91","symbol of stunning","7,275 gp"
"92","symbol of weakness","7,275 gp"
"93–97","transmute metal to wood","2,275 gp"
"98–100","word of chaos","2,275 gp"
"01–04","animal shapes","3,000 gp"
"05–10","antimagic field","3,000 gp"
"11–13","cloak of chaos","3,000 gp"
"14–17","control plants","3,000 gp"
"18–20","create greater undead","3,600 gp"
"21–27","cure critical wounds, mass","3,000 gp"
"28–32","dimensional lock","3,000 gp"
"33–36","discern location","3,000 gp"
"37–41","earthquake","3,000 gp"
"42–45","finger of death","3,000 gp"
"46–49","fire storm","3,000 gp"
"50–52","holy aura","3,000 gp"
"53–56","inflict critical wounds, mass","3,000 gp"
"57–60","planar ally, greater","5,500 gp"
"61–65","repel metal or stone","3,000 gp"
"66–69","reverse gravity","3,000 gp"
"70–72","shield of law","3,000 gp"
"73–76","spell immunity, greater","3,000 gp"
"77–80","summon monster VIII","3,000 gp"
"81–84","summon nature’s ally VIII","3,000 gp"
"85–89","sunburst","3,000 gp"
"90–91","symbol of death","8,000 gp"
"92–93","symbol of insanity","8,000 gp"
"94–96","unholy aura","3,000 gp"
"97–100","whirlwind","3,000 gp"
"01–04","antipathy","3,825 gp"
"05–07","astral projection","4,870 gp"
"08–13","elemental swarm","3,825 gp"
"14–19","energy drain","3,825 gp"
"20–25","etherealness","3,825 gp"
"26–31","foresight","3,825 gp"
"32–37","gate","8,825 gp"
"38–46","heal, mass","3,825 gp"
"47–53","implosion","3,825 gp"
"54–55","miracle"
"56–61","regenerate","3,825 gp"
"62–66","shambler","3,825 gp"
"67–72","shapechange","3,825 gp"
"73–77","soul bind","3,825 gp"
"78–83","storm of vengeance","3,825 gp"
"84–89","summon monster IX","3,825 gp"
"90–95","summon nature’s ally IX","3,825 gp"
"96–99","sympathy","5,325 gp"
"100","true resurrection","28,825 gp"
"1 Assumes powerful request but no expensive material components in excess of 100 gp and no additional XP
            cost."

