"Table: Weapons"
"Scythe","18 gp","1d6","2d4","x4","—","10 lb.","Piercing or slashing"
"Ranged Weapons"
"Longbow","75 gp","1d6","1d8","x3","100 ft.","3 lb.","Piercing"
"Arrows (20)","1 gp","—","—","—","—","3 lb.","—"
"Longbow, composite","100 gp","1d6","1d8","x3","110 ft.","3 lb.","Piercing"
"Arrows (20)","1 gp","—","—","—","—","3 lb.","—"
"Shortbow","30 gp","1d4","1d6","x3","60 ft.","2 lb.","Piercing"
"Arrows (20)","1 gp","—","—","—","—","3 lb.","—"
"Shortbow, composite","75 gp","1d4","1d6","x3","70 ft.","2 lb.","Piercing"
"Arrows (20)","1 gp","—","—","—","—","3 lb.","—"
"Light Melee Weapons"
"Kama","2 gp","1d4","1d6","x2","—","2 lb.","Slashing"
"Nunchaku","2 gp","1d4","1d6","x2","—","2 lb.","Bludgeoning"
"Sai","1 gp","1d3","1d4","x2","10 ft.","1 lb.","Bludgeoning"
"Siangham","3 gp","1d4","1d6","x2","—","1 lb.","Piercing"
"One-Handed Melee Weapons"
"Sword, bastard","35 gp","1d8","1d10","19–20/x2","—","6 lb.","Slashing"
"Waraxe, dwarven","30 gp","1d8","1d10","x3","—","8 lb.","Slashing"
"Whip 4","1 gp","1d2 3","1d3 3","x2","","2 lb.","Slashing"
"Two-Handed Melee Weapons"
"Axe, orc double 5","60 gp","1d6/1d6","1d8/1d8","x3","—","15 lb.","Slashing"
"Chain, spiked 4","25 gp","1d6","2d4","x2","—","10 lb.","Piercing"
"Flail, dire 5","90 gp","1d6/1d6","1d8/1d8","x2","—","10 lb.","Bludgeoning"
"Hammer,  gnome hooked 5","20 gp","1d6/1d4","1d8/1d6","x3/x4","—","6 lb.","Bludgeoning and piercing"
"Sword, two-bladed 5","100 gp","1d6/1d6","1d8/1d8","19–20/x2","—","10 lb.","Slashing"
"Urgrosh, dwarven 5","50 gp","1d6/1d4","1d8/1d6","x3","—","12 lb.","Slashing or piercing"
"Ranged Weapons"
"Bolas","5 gp","1d3 3","1d4 3","x2","10 ft.","2 lb.","Bludgeoning"
"Crossbow, hand","100 gp","1d3","1d4","19–20/x2","30 ft.","2 lb.","Piercing"
"Bolts (10)","1 gp","—","—","—","—","1 lb.","—"
"Crossbow,  repeating heavy","400 gp","1d8","1d10","19–20/x2","120 ft.","12 lb.","Piercing"
"Bolts (5)","1 gp","—","—","—","1 lb.","—",""
"Crossbow,  repeating light","250 gp","1d6","1d8","19–20/x2","80 ft.","6 lb.","Piercing"
"Bolts (5)","1 gp","—","—","—","1 lb.","—",""
"Net","20 gp","—","—","10 ft.","6 lb.","—",""
"Shuriken (5)","1 gp","1","1d2","x2","10 ft.","1/2 lb.","Piercing"
"1 Weight figures are for Medium weapons. A Small weapon weighs half as much, and a Large weapon weighs twice
            as much."
"2 When two types are given, the weapon is both types if the entry specifies “and,” or either type (player’s
            choice at time of attack) if the entry specifies “or.”"
"3 The weapon deals nonlethal damage rather than lethal damage."
"4 Reach weapon."
"5 Double weapon."

