"Table: Goods and Services"
"Adventuring Gear"
"Peasant’s outfit","1 sp","2 lb. 1"
"Royal outfit","200 gp","15 lb. 1"
"Scholar’s outfit","5 gp","6 lb. 1"
"Traveler’s outfit","1 gp","5 lb. 1"
"",""
"Ale","",""
"Gallon","2 sp","8 lb."
"Mug","4 cp","1 lb."
"Banquet (per person)","10 gp","—"
"Bread, per loaf","2 cp","1/2 lb."
"Cheese, hunk of","1 sp","1/2 lb."
"Inn stay (per day)","",""
"Good","2 gp","—"
"Common","5 sp","—"
"Poor","2 sp","—"
"Meals (per day)","",""
"Good","5 sp","—"
"Common","3 sp","—"
"Poor","1 sp","—"
"Meat, chunk of","3 sp","1/2 lb."
"Wine","",""
"Common (pitcher)","2 sp","6 lb."
"Fine (bottle)","10 gp","1-1/2 lb."
"",""
"Barding","",""
"Medium creature","x2","x1"
"Large creature","x4","x2"
"Bit and bridle","2 gp","1 lb."
"Dog, guard","25 gp","—"
"Dog, riding","150 gp","—"
"Donkey or mule","8 gp","—"
"Feed (per day)","5 cp","10 lb."
"Horse","",""
"Horse, heavy","200 gp","—"
"Horse, light","75 gp","—"
"Pony","30 gp","—"
"Warhorse, heavy","400 gp","—"
"Warhorse, light","150 gp","—"
"Warpony","100 gp","—"
"Saddle","",""
"Military","20 gp","30 lb."
"Pack","5 gp","15 lb."
"Riding","10 gp","25 lb."
"Saddle, Exotic","",""
"Military","60 gp","40 lb."
"Pack","15 gp","20 lb."
"Riding","30 gp","30 lb."
"Saddlebags","4 gp","8 lb."
"Stabling (per day)","5 sp","—"
"",""
"Carriage","100 gp","600 lb."
"Cart","15 gp","200 lb."
"Galley","30,000 gp","—"
"Keelboat","3,000 gp","—"
"Longship","10,000 gp","—"
"Rowboat","50 gp","100 lb."
"Oar","2 gp","10 lb."
"Sailing ship","10,000 gp","—"
"Sled","20 gp","300 lb."
"Wagon","35 gp","400 lb."
"Warship","25,000 gp","—"
"",""
"Coach cab","3 cp per mile"
"Hireling, trained","3 sp per day"
"Hireling, untrained","1 sp per day"
"Messenger","2 cp per mile"
"Road or gate toll","1 cp"
"Ship’s passage","1 sp per mile"
"Spell, 0-level","Caster level x 5 gp 2"
"Spell, 1st-level","Caster level x 10 gp 2"
"Spell, 2nd-level","Caster level x 20 gp 2"
"Spell, 3rd-level","Caster level x 30 gp 2"
"Spell, 4th-level","Caster level x 40 gp 2"
"Spell, 5th-level","Caster level x 50 gp 2"
"Spell, 6th-level","Caster level x 60 gp 2"
"Spell, 7th-level","Caster level x 70 gp 2"
"Spell, 8th-level","Caster level x 80 gp 2"
"Spell, 9th-level","Caster level x 90 gp 2"
"— No weight, or no weight worth noting."
"1 These items weigh one-quarter this amount when made for Small characters. Containers for Small characters
            also carry one-quarter the normal amount."
"2 See spell description for additional costs. If the additional costs put the spell’s total cost above 3,000
            gp, that spell is not generally available."

